"candidate_group","gene_or_family","axis","evidence_tier","source_system","key_evidence","lth_use","priority","caveat","primary_sources","doi_or_url"
"Protein quality control","Ubiquitin-proteasome/E3/RING-finger ligases/proteasome","heat_wound_proteostasis","A","Acropora nana; Acropora heat-tolerance studies; Porites lobata","Ubiquitin/RING genes occur in acclimation and heat response; fragmentation activates ubiquitin-associated degradation.","Score proteostasis and damaged-protein turnover modules.","high","Protein turnover responds to many stressors, including injury alone.","Bay and Palumbi 2015; Dixon 2015; Lock 2022; DeSalvo 2010","10.1093/gbe/evv085; 10.1126/science.1261224; 10.1002/ece3.9345; 10.3354/meps08372"
"Redox and antioxidant defense","CuZn-SOD/MnSOD/catalase/peroxidasin/peroxiredoxin/thioredoxin/glutathione","heat_wound_redox","A/C","Acropora spp.; Porites lobata; review/meta-analysis","Redox genes recur in heat, bleaching, fragmentation, natural variation, and heat x injury studies.","Primary process score for chronic heat stress and heat x wound costs.","high","Redox signal is expected but not specific to one mechanism.","Barshis 2013; Seneca 2009; Bonesso 2017; Lock 2022; Granados-Cifuentes 2013; Louis 2017; Molinari 2025","10.1073/pnas.1210224110; 10.1007/s10126-009-9247-5; 10.7717/peerj.3719; 10.1002/ece3.9345; 10.1186/1471-2164-14-228; 10.1016/j.cbpc.2016.08.007; 10.1111/mec.17753"
"Apoptosis and cell-fate stress","TNFR/TRAF3/Bcl2/caspase/autophagy genes","heat_wound_cell_fate","A/B","Acropora hyacinthus; Acropora palmata; Acropora muricata; Acropora downingi","Thermal stress and frontloading studies highlight TNF/TRAF/apoptosis genes; Han reports Bcl2-related calicoblast patterns; targeted A. downingi work includes Bcl2.","Interpret tissue loss, stress tolerance, and repair vs cell-death decisions.","medium","Bcl2 targeted-qPCR support is recent and lower priority; avoid single-gene overclaiming.","Barshis 2013; DeSalvo 2010; Han 2025; Javid 2025; Dixon 2020","10.1073/pnas.1210224110; 10.3354/meps08372; 10.1038/s42003-025-08089-6; 10.1016/j.marenvres.2025.107102; 10.1111/mec.15535"
"Stress-intensity state","Acropora environmental stress response type A/type B","heat","C","Acropora meta-analysis","A meta-analysis of more than 600 Acropora expression profiles found high-intensity stress and lower-intensity stress can produce different and sometimes opposite expression states.","Guardrail for interpreting 31 C as chronic/sublethal rather than acute bleaching.","high","This is module/process guidance, not a candidate-gene list for direct testing.","Dixon et al. 2020","10.1111/mec.15535"
"Frontloaded stress state","HSP/redox/cell adhesion/immune/apoptosis frontloading module","heat_genotype","A/C","Acropora hyacinthus; Acropora cervicornis","Tolerant or better-performing genotypes/populations can show elevated baseline expression of stress-related modules and smaller induced responses.","Test source C vs A/D as a sustained-state or dampened-response hypothesis, not a Day 0 baseline claim.","high","LTH lacks true Day 0 expression in the 144-library design.","Barshis 2013; Dilworth 2024","10.1073/pnas.1210224110; 10.1098/rspb.2023.2447"
"Transcriptional dampening","Muted acute heat response after acclimation or priming","heat_recovery","A","Acropora nana; Acropora cf. tenuis","Short acclimation or heat priming can reduce the magnitude of later heat-induced expression response.","Interpret absence of a strong HSP/ESR spike as possible acclimation/dampening.","high","Requires careful timing; dampening is not the same as no stress.","Bay and Palumbi 2015; Stick et al. 2026","10.1093/gbe/evv085; 10.1002/ece3.72938"
"Transcriptomic resilience","Return-to-baseline WGCNA modules/recovery rate","heat_recovery","A","Acropora gemmifera; Acropora hyacinthus; Acropora cf. tenuis","Transcriptome recovery speed and module trajectories are linked to bleaching severity, recurrent-bleaching vulnerability, and symbiont shifts.","Use WGCNA/module eigengenes against PAM, color, symbionts, growth, and source-thicket sensitivity.","high","LTH has no pre-heat baseline in the current 144 libraries; recovery language must be cautious.","Thomas 2019; Stick 2025","10.1111/mec.15143; 10.1007/s00338-025-02722-w"
"Natural colony variation","HSP70/catalase/ubiquitin/ferritin/peroxiredoxin/NF-kB inhibitor","baseline_variation","C","Acropora millepora","Natural gene-expression variation is high among colonies even under common conditions, including stress-related genes.","Guardrail for source-thicket interpretation and replication needs.","medium","Variation may not align cleanly with simple genotypes or phenotype groups.","Granados-Cifuentes 2013","10.1186/1471-2164-14-228"
"Symbiosis recognition","C-type lectin/mannose-binding lectin/millectin/lectin-complement genes","heat_wound_symbiosis","A/C","Acropora millepora; Acropora aspera; cnidarian review","Lectins respond during bleaching, injury, and heat x injury, and recur in biomarker reviews.","Link expression to symbiont-density loss and new-tissue symbiosis establishment.","high","Different lectins have different directions and functions; do not collapse all lectins into one gene.","Seneca 2009; van de Water 2015 Mol Ecol; van de Water 2015 Hydrobiologia; Molinari 2025","10.1007/s10126-009-9247-5; 10.1111/mec.13257; 10.1007/s10750-015-2243-z; 10.1111/mec.17753"
"Pigment and photoprotection","Chromoprotein/GFP-like pigments","heat_wound_pigment","A","Acropora millepora; Acropora aspera; Acropora cf. tenuis","Bleaching, injury, and recovery studies report shifts in chromoprotein or GFP-like genes/proteins.","Compare host expression modules with color-card and visual paling results.","medium","Strongly affected by light, species, pigment class, and recovery stage.","Seneca 2009; van de Water 2015 Mol Ecol; Bonesso 2017; Stick 2025","10.1007/s10126-009-9247-5; 10.1111/mec.13257; 10.7717/peerj.3719; 10.1007/s00338-025-02722-w"
"Ion and solute transport","SLC26/SLC4/Cacna1/ABC transporters/solute carriers","heat_calcification_symbiosis","A/C","Acropora spp.; review/meta-analysis","Ion and solute transporters are linked to heat tolerance, biomarkers, calcification, and symbiosis-related stress responses.","Score heat and calcification/symbiosis modules.","high","Transporter families are large; orthology and annotation confidence are essential.","Dixon 2015; Louis 2017; Molinari 2025; DeSalvo 2010; Selmoni et al. 2025/2026","10.1126/science.1261224; 10.1016/j.cbpc.2016.08.007; 10.1111/mec.17753; 10.3354/meps08372; https://www.nature.com/articles/s41467-025-67616-5"
"Symbiosis signaling","Inositol/phosphoinositide/glutamate receptor activity","heat_symbiosis","C","Acropora genomic association; Porites fragmentation","Recent Acropora genomic association work links heat-adaptation windows to inositol and glutamate receptor functions; fragmentation work links phosphoinositide signaling to calcium homeostasis.","Use as exploratory bridge among heat, symbiosis, and calcium handling.","medium","Genomic association is indirect and needs expression/orthology support in LTH.","Selmoni et al. 2025/2026; Lock 2022","https://www.nature.com/articles/s41467-025-67616-5; 10.1002/ece3.9345"
"Cytoskeleton and cell architecture","Actin/myosin/gelsolin/cytoskeleton reorganization genes","heat_wound_barrier","A/B","Acropora palmata; Turbinaria peltata; Acropora cf. tenuis; Porites lobata","Heat and wound studies repeatedly implicate cytoskeleton and ECM/cell-adhesion remodeling.","Interpret tissue integrity, margin movement, and regeneration failure.","medium","Actin is often a housekeeping or normalization gene in qPCR; do not assume all actin changes are biological without RNA-seq QC.","DeSalvo 2010; Ren 2026; Stick 2026; Lock 2022","10.3354/meps08372; 10.1016/j.aqrep.2026.103629; 10.1002/ece3.72938; 10.1002/ece3.9345"
"Classic heat transcriptional response","Nrf/ATF4/nucleic-acid repair/RAD23/protein turnover genes","heat","B/C","Acropora palmata; Acropora millepora","Classic Acropora heat transcriptomics include growth arrest, chaperone activity, nucleic-acid stabilization/repair, damaged-macromolecule removal, and oxidative-stress transcription factors.","Use as exploratory annotation categories for heat DE and enrichment.","medium","Older microarray studies have limited annotation and platform comparability.","DeSalvo 2010; Granados-Cifuentes 2013; Dixon 2020","10.3354/meps08372; 10.1186/1471-2164-14-228; 10.1111/mec.15535"
"Host-symbiont split","Host stress genes plus symbiont fraction/expression","heat_symbiosis","A/C","Acropora bleaching and recovery studies","Bleaching and transcriptomic-recovery studies emphasize host expression, symbiont density/type, and symbiont read mapping as linked but distinct layers.","Analyze host-only and symbiont-aware outputs separately when mapping allows.","high","Do not let variable host:symbiont RNA fraction masquerade as host gene expression without QC.","Thomas 2019; Seneca 2009; DeSalvo 2010; Stick 2026","10.1111/mec.15143; 10.1007/s10126-009-9247-5; 10.3354/meps08372; 10.1002/ece3.72938"
"Heat-adaptive genomic windows","HSP70/SSUH2/uromodulin/UNC45/fibronectin plus inositol/glutamate terms","heat_adaptation","C","multi-species Acropora genomic association","Global Acropora genomic vulnerability analysis found overlapping heat-adaptation windows enriched for heat-shock protein binding and unfolded-protein binding, including HSP70 and protein-folding candidates.","Use as orthology-aware follow-up after the A. pulchra annotation is fixed.","low","GEA evidence is not expression evidence in LTH and can include false positives.","Selmoni et al. 2025/2026","https://www.nature.com/articles/s41467-025-67616-5"
"Cross-cnidarian biomarker panel","CuZn-SOD/C-type lectin/FGFR1/MMP/Zn-MP/NF-kB/SLC26","heat_biomarker_review","C","cnidarian review across stress experiments","A 2025 synthesis found seven genes with consistent heat responses across at least two cnidarian genera and proposed a cBATS-style panel.","Use as a compact sensitivity panel after genome-wide analysis.","medium","Review-level panel; test in LTH rather than assuming universality.","Molinari et al. 2025","10.1111/mec.17753"
"Older heat biomarker shortlist","hsp16/Cacna1/MnSOD/SLC26/NF-kB/peroxidasin-like/CaM/cytochrome P450","heat_biomarker_review","C","scleractinian review","The 2017 biomarker review highlights promising host and symbiont thermal-stress GEBs while emphasizing that no universal biomarker exists.","Use as supporting sensitivity panel and annotation cross-check.","medium","Review emphasizes variability across setups, colonies, symbionts, diel cycles, thresholds, and histories.","Louis et al. 2017","10.1016/j.cbpc.2016.08.007"
"Lab-only candidate carryover","Wnt3/TGF-beta/PCNA/SLC4gamma as named panel items","lab_candidate","D","lab planning notes","These names appear in lab planning documents or older candidate panels, but support is incomplete or contradicted for coral regeneration.","Keep visible so they can be checked, not silently promoted.","low","Xu supports Wnt-family involvement but not Wnt3 specifically; Xu argues against TGF-beta involvement in coral regeneration; PCNA needs a verified coral source.","Lab NSF Aim 2 notes; Keck signaling notes; Xu 2023 for contradiction","lab-internal; 10.3389/fevo.2022.979278"
